excluded_post_id,robot_status,topic,delta_mean_share
69e44fbf000000001e00cc6a,,2,0.0
69e44fbf000000001e00cc6a,,3,0.0
69e44fbf000000001e00cc6a,,4,0.0
69e44fbf000000001e00cc6a,,5,0.0
69e44fbf000000001e00cc6a,,6,0.0
69e44fbf000000001e00cc6a,中性,0,0.0
69e44fbf000000001e00cc6a,中性,1,0.0
69e44fbf000000001e00cc6a,中性,2,0.0
69e44fbf000000001e00cc6a,中性,3,0.0
69e44fbf000000001e00cc6a,中性,4,0.0
69e44fbf000000001e00cc6a,中性,5,0.0
69e44fbf000000001e00cc6a,中性,6,0.0
69e44fbf000000001e00cc6a,失败,0,0.0
69e44fbf000000001e00cc6a,失败,1,0.0
69e44fbf000000001e00cc6a,失败,2,0.0
69e44fbf000000001e00cc6a,失败,3,0.0
69e44fbf000000001e00cc6a,失败,4,0.0
69e44fbf000000001e00cc6a,失败,5,0.0
